:ID,title,codes,:LABEL
en1,"Infections of the foetus or newborn","KA60-KA6Z",Item
en2,"Human prion diseases","8E00-8E0Z",Item
en3,"Intestinal fungal infections","",Item
en4,"Bacterial foodborne intoxications","1A10-1A1Z",Item
en5,"cholera syndrome","",Item
en6,"Pseudomembranous colitis","",Item
en7,"enteritis necroticans","",Item
en8,"foodborne Clostridium welchii intoxication","",Item
en9,"Infection due to Isopora belli","",Item
en10,"Infection due to Isopora hominis","",Item
en11,"Sarcosporidiosis","",Item
en12,"infection due to Entamoeba histolytica","",Item
en13,"amoebic dysentery","",Item
en14,"Hepatic amoebiasis","",Item
en15,"enteritis septic","",Item
en16,"gastroenteritis septic","",Item
en17,"Sexually transmissible viral hepatitis","",Item
en18,"Human immunodeficiency virus disease","1C60-1C62.Z",Item
en19,"Syphilitic aortic incompetence","",Item
en20,"Syphilitic pulmonary regurgitation","",Item
en21,"Syphilitic endocarditis","",Item
en22,"Syphilitic myocarditis","",Item
en23,"Syphilitic aortitis","",Item
en24,"Syphilitic aneurysm of aorta","",Item
en25,"Syphilitic cerebral arteritis","",Item
en26,"Female gonococcal pelvic inflammatory disease","",Item
en27,"Gonococcal peritonitis","",Item
en28,"Gonococcal arthritis","",Item
en29,"Gonococcal bursitis","",Item
en30,"Gonococcal osteomyelitis","",Item
en31,"Gonococcal synovitis","",Item
en32,"Gonococcal tenosynovitis","",Item
en33,"Gonococcal anterior uveitis","",Item
en34,"Gonococcal conjunctivitis","",Item
en35,"Durand-Nicolas-Favre disease","",Item
en36,"Chlamydial cystitis or urethritis","",Item
en37,"Chlamydial vulvovaginitis","",Item
en38,"Chlamydial cervicitis","",Item
en39,"Chlamydial female pelvic inflammatory disease","",Item
en40,"Ulcus molle","",Item
en41,"Donovanosis","",Item
en42,"Condylomata acuminata","",Item
en43,"Anal condyloma acuminata","",Item
en44,"Anogenital warts affecting sites other than the anogenital area","",Item
en45,"Infections due to Mycobacterium tuberculosis and Mycobacterium bovis","",Item
en46,"Tuberculous leptomeningitis","",Item
en47,"Tuberculoma of meninges","",Item
en48,"Tuberculous episcleritis","",Item
en49,"Tuberculosis of adrenal glands","",Item
en50,"Tuberculosis of thyroid gland","",Item
en51,"Tuberculosis of pituitary gland","",Item
en52,"Tuberculosis of hip","",Item
en53,"Tuberculosis of knee","",Item
en54,"Tuberculous mastoiditis","",Item
en55,"Tuberculosis of vertebral column","",Item
en56,"Tuberculous necrosis of bone","",Item
en57,"Tuberculous osteitis","",Item
en58,"Tuberculous osteomyelitis","",Item
en59,"Tuberculous synovitis","",Item
en60,"Tuberculous tenosynovitis","",Item
en61,"Tuberculous arthritis","",Item
en62,"Tuberculous adenitis","",Item
en63,"Tuberculids","EA40-EA5Z",Item
en64,"Infection due to Mycobacterium leprae","",Item
en65,"Tuberculosis","1B10-1B1Z",Item
en66,"Pulmonary infection due to Mycobacterium avium-intracellulare complex","",Item
en67,"Pulmonary infection due to Mycobacterium kansasii","",Item
en68,"Pulmonary infection due to Mycobacterium xenopi","",Item
en69,"Pulmonary infection due to Mycobacterium malmoense","",Item
en70,"Tuberculosis","1B10-1B1Z",Item
en71,"Scarlatina NOS","",Item
en72,"Streptococcal sore throat","",Item
en73,"Streptococcal meningitis","",Item
en74,"Staphylococcal meningitis","",Item
en75,"Sodoku","",Item
en76,"Epidemic arthritic erythema","",Item
en77,"Haverhill fever","",Item
en78,"Streptobacillary rat-bite fever","",Item
en79,"Infection due to Pseudomonas mallei","",Item
en80,"deer-fly fever","",Item
en81,"rabbit fever","",Item
en82,"infection due to Francisella tularensis","",Item
en83,"Malta fever","",Item
en84,"Mediterranean fever","",Item
en85,"undulant fever","",Item
en86,"Cat-scratch fever","",Item
en87,"Rochalimaea henselae infection","",Item
en88,"Quintan fever","",Item
en89,"Diphtheritic membranous angina","",Item
en90,"Diphtheritic laryngotracheitis","",Item
en91,"Systemic Haemophilus aegyptius infection","",Item
en92,"listerial foodborne infection","",Item
en93,"Meningococcal infection","",Item
en94,"Meningitis due to Neisseria meningitidis","",Item
en95,"Meningococcal haemorrhagic adrenalitis","",Item
en96,"Chancre of yaws","",Item
en97,"Primary framboesia","",Item
en98,"Yaws without clinical manifestations, with positive serology","",Item
en99,"Primary chancre of pinta","",Item
en100,"Pintids","",Item
en101,"Hypomelanosis due to late pinta","",Item
en102,"Cicatrical cutaneous late pinta","",Item
en103,"Bejel","",Item
en104,"Endemic syphilis","",Item
en105,"Njovera","",Item
en106,"Erythema migrans","",Item
en107,"Fusospirochaetal gangrene","",Item
en108,"Relapsing fever due to any Borrelia species other than Borrelia recurrentis","",Item
en109,"Relapsing fever due to Borrelia recurrentis","",Item
en110,"Paratrachoma","",Item
en111,"Psittacosis","",Item
en112,"Ornithosis","",Item
en113,"Parrot fever","",Item
