:START_ID,role,detail,:END_ID,:TYPE
2,items,"Infection arising from device, implant or graft, not elsewhere classified",15828,EXCLUSIONS
2,items,"Infections of the foetus or newborn",en1,CODED_ELSEWHERE
2,items,"Human prion diseases",en2,CODED_ELSEWHERE
2,items,"Pneumonia",7014,CODED_ELSEWHERE
3,items,"Intestinal fungal infections",en3,CODED_ELSEWHERE
4,items,"Bacterial foodborne intoxications",en4,EXCLUSIONS
4,items,"Abdominal actinomycosis",302,CODED_ELSEWHERE
4,items,"Listerial gastroenteritis",338,CODED_ELSEWHERE
5,items,"cholera syndrome",en5,INCLUSIONS
15,items,"Pseudomembranous colitis",en6,INCLUSIONS
16,items,"Extraintestinal yersiniosis",297,EXCLUSIONS
26,items,"salmonella foodborne intoxication and infection",23,EXCLUSIONS
26,items,"Listeriosis",335,EXCLUSIONS
26,items,"Harmful effects of or exposure to noxious substances, Substances chiefly nonmedicinal as to source, Other noxious substances eaten as food",15777,EXCLUSIONS
26,items,"Ichthyotoxism not specified as bacterial",15777,EXCLUSIONS
32,items,"enteritis necroticans",en7,INCLUSIONS
32,items,"foodborne Clostridium welchii intoxication",en8,INCLUSIONS
36,items,"influenza with involvement of gastrointestinal tract",630,EXCLUSIONS
36,items,"Herpes simplex virus duodenitis",707,CODED_ELSEWHERE
36,items,"Human immunodeficiency virus disease enteritis",440,CODED_ELSEWHERE
49,items,"Infection due to Isopora belli",en9,INCLUSIONS
49,items,"Infection due to Isopora hominis",en10,INCLUSIONS
53,items,"Sarcosporidiosis",en11,INCLUSIONS
55,items,"infection due to Entamoeba histolytica",en12,INCLUSIONS
57,items,"amoebic dysentery",en13,INCLUSIONS
58,items,"Amoeboma of large intestine",59,CODED_ELSEWHERE
61,items,"Hepatic amoebiasis",en14,INCLUSIONS
68,items,"enteritis septic",en15,INCLUSIONS
68,items,"gastroenteritis septic",en16,INCLUSIONS
68,items,"Noninfectious neonatal diarrhoea",11168,EXCLUSIONS
68,items,"noninfective diarrhoea",13229,EXCLUSIONS
71,items,"nonspecific and nongonococcal urethritis",9918,EXCLUSIONS
71,items,"Arthropathy following genitourinary infection",9077,EXCLUSIONS
71,items,"Sexually transmissible viral hepatitis",en17,CODED_ELSEWHERE
71,items,"Herpes simplex labialis",694,CODED_ELSEWHERE
71,items,"Herpes simplex gingivostomatitis",695,CODED_ELSEWHERE
71,items,"Vulvovaginal candidosis",750,CODED_ELSEWHERE
71,items,"Candida balanoposthitis",751,CODED_ELSEWHERE
71,items,"Human immunodeficiency virus disease",en18,CODED_ELSEWHERE
71,items,"Other infections with a predominantly sexual mode of transmission complicating pregnancy, childbirth or the puerperium",10598,CODED_ELSEWHERE
71,items,"Candidosis of external genitalia",757,CODED_ELSEWHERE
71,items,"Anogenital molluscum contagiosum",659,CODED_ELSEWHERE
72,items,"Syphilis complicating pregnancy, childbirth or the puerperium",10596,CODED_ELSEWHERE
81,items,"Early congenital syphilis",73,EXCLUSIONS
90,items,"Late congenital syphilis",73,EXCLUSIONS
93,items,"Dementia due to neurosyphilis",4352,CODED_ELSEWHERE
95,items,"Syphilitic aortic incompetence",en19,INCLUSIONS
95,items,"Syphilitic pulmonary regurgitation",en20,INCLUSIONS
95,items,"Syphilitic endocarditis",en21,INCLUSIONS
95,items,"Syphilitic myocarditis",en22,INCLUSIONS
95,items,"Syphilitic aortitis",en23,INCLUSIONS
95,items,"Syphilitic aneurysm of aorta",en24,INCLUSIONS
95,items,"Syphilitic cerebral arteritis",en25,INCLUSIONS
106,items,"Gonorrhoea complicating pregnancy, childbirth or the puerperium",10597,CODED_ELSEWHERE
108,items,"Gonococcal infection of lower genitourinary tract with periurethral or accessory gland abscess",112,EXCLUSIONS
115,items,"Female gonococcal pelvic inflammatory disease",en26,INCLUSIONS
115,items,"Gonococcal peritonitis",en27,INCLUSIONS
117,items,"Gonococcal arthritis",en28,INCLUSIONS
117,items,"Gonococcal bursitis",en29,INCLUSIONS
117,items,"Gonococcal osteomyelitis",en30,INCLUSIONS
117,items,"Gonococcal synovitis",en31,INCLUSIONS
117,items,"Gonococcal tenosynovitis",en32,INCLUSIONS
121,items,"Gonococcal anterior uveitis",en33,INCLUSIONS
121,items,"Gonococcal conjunctivitis",en34,INCLUSIONS
121,items,"Neonatal conjunctivitis or dacrocystitis due to Neisseria gonorrhoeae",10875,CODED_ELSEWHERE
127,items,"Durand-Nicolas-Favre disease",en35,INCLUSIONS
128,items,"Neonatal chlamydial pneumonia",11007,EXCLUSIONS
128,items,"Neonatal conjunctivitis due to Chlamydia",10875,EXCLUSIONS
128,items,"Chlamydial lymphogranuloma",127,EXCLUSIONS
128,items,"Chlamydial peritonitis",383,EXCLUSIONS
128,items,"Trachoma",385,EXCLUSIONS
129,items,"Chlamydial cystitis or urethritis",en36,INCLUSIONS
129,items,"Chlamydial vulvovaginitis",en37,INCLUSIONS
129,items,"Chlamydial cervicitis",en38,INCLUSIONS
130,items,"Chlamydial female pelvic inflammatory disease",en39,INCLUSIONS
135,items,"Ulcus molle",en40,INCLUSIONS
136,items,"Donovanosis",en41,INCLUSIONS
137,items,"Intestinal trichomoniasis",66,CODED_ELSEWHERE
138,items,"Scabies",995,CODED_ELSEWHERE
138,items,"Pubic infestation by Phthiriasis",994,CODED_ELSEWHERE
143,items,"Condylomata acuminata",en42,INCLUSIONS
143,items,"Anogenital verrucous carcinoma of Buschke and Lowenstein",1693,CODED_ELSEWHERE
144,items,"Anal condyloma acuminata",en43,INCLUSIONS
146,items,"Anogenital warts affecting sites other than the anogenital area",en44,INCLUSIONS
150,items,"Infections due to Mycobacterium tuberculosis and Mycobacterium bovis",en45,INCLUSIONS
150,items,"Pneumoconiosis associated with tuberculosis",7072,EXCLUSIONS
150,items,"Congenital tuberculosis",10845,CODED_ELSEWHERE
150,items,"Tuberculosis complicating pregnancy, childbirth or the puerperium",10592,CODED_ELSEWHERE
