:START_ID,role,:END_ID,:TYPE
2,"explicit",1,IS_A
3,"explicit",2,IS_A
4,"explicit",3,IS_A
5,"explicit",4,IS_A
6,"explicit",4,IS_A
7,"explicit",4,IS_A
8,"explicit",4,IS_A
9,"explicit",8,IS_A
10,"explicit",8,IS_A
11,"explicit",8,IS_A
12,"explicit",8,IS_A
13,"explicit",8,IS_A
14,"explicit",8,IS_A
15,"explicit",4,IS_A
16,"explicit",4,IS_A
17,"explicit",4,IS_A
18,"explicit",4,IS_A
19,"explicit",18,IS_A
20,"explicit",18,IS_A
21,"explicit",18,IS_A
22,"explicit",4,IS_A
23,"explicit",4,IS_A
24,"explicit",4,IS_A
25,"explicit",4,IS_A
26,"explicit",3,IS_A
27,"explicit",26,IS_A
28,"explicit",26,IS_A
29,"explicit",28,IS_A
30,"explicit",28,IS_A
31,"explicit",28,IS_A
32,"explicit",26,IS_A
33,"explicit",26,IS_A
34,"explicit",26,IS_A
35,"explicit",26,IS_A
36,"explicit",3,IS_A
37,"explicit",36,IS_A
38,"explicit",36,IS_A
39,"explicit",36,IS_A
40,"explicit",36,IS_A
41,"explicit",36,IS_A
42,"explicit",36,IS_A
43,"explicit",36,IS_A
44,"explicit",3,IS_A
45,"explicit",44,IS_A
46,"explicit",44,IS_A
47,"explicit",44,IS_A
48,"explicit",44,IS_A
49,"explicit",48,IS_A
50,"explicit",48,IS_A
51,"explicit",48,IS_A
52,"explicit",48,IS_A
53,"explicit",44,IS_A
54,"explicit",44,IS_A
55,"explicit",44,IS_A
56,"explicit",55,IS_A
57,"explicit",56,IS_A
58,"explicit",56,IS_A
59,"explicit",56,IS_A
60,"explicit",55,IS_A
61,"explicit",60,IS_A
62,"explicit",60,IS_A
63,"explicit",60,IS_A
64,"explicit",60,IS_A
65,"explicit",55,IS_A
66,"explicit",44,IS_A
67,"explicit",44,IS_A
68,"explicit",3,IS_A
69,"explicit",68,IS_A
70,"explicit",68,IS_A
71,"explicit",2,IS_A
72,"explicit",71,IS_A
73,"explicit",72,IS_A
74,"explicit",73,IS_A
75,"explicit",73,IS_A
76,"explicit",73,IS_A
77,"explicit",73,IS_A
78,"explicit",73,IS_A
79,"explicit",73,IS_A
80,"explicit",73,IS_A
81,"explicit",72,IS_A
82,"explicit",81,IS_A
83,"explicit",81,IS_A
84,"explicit",81,IS_A
85,"explicit",81,IS_A
86,"explicit",81,IS_A
87,"explicit",81,IS_A
88,"explicit",81,IS_A
89,"explicit",81,IS_A
90,"explicit",72,IS_A
91,"explicit",90,IS_A
92,"explicit",91,IS_A
93,"explicit",91,IS_A
94,"explicit",91,IS_A
95,"explicit",90,IS_A
96,"explicit",90,IS_A
97,"explicit",96,IS_A
98,"explicit",96,IS_A
99,"explicit",96,IS_A
100,"explicit",96,IS_A
101,"explicit",96,IS_A
102,"explicit",90,IS_A
103,"explicit",90,IS_A
104,"explicit",72,IS_A
105,"explicit",72,IS_A
106,"explicit",71,IS_A
107,"explicit",106,IS_A
108,"explicit",107,IS_A
109,"explicit",108,IS_A
110,"explicit",108,IS_A
111,"explicit",108,IS_A
112,"explicit",107,IS_A
113,"explicit",107,IS_A
114,"explicit",107,IS_A
115,"explicit",106,IS_A
116,"explicit",106,IS_A
117,"explicit",116,IS_A
118,"explicit",116,IS_A
119,"explicit",116,IS_A
120,"explicit",116,IS_A
121,"explicit",116,IS_A
122,"explicit",116,IS_A
123,"explicit",116,IS_A
124,"explicit",106,IS_A
125,"explicit",106,IS_A
126,"explicit",71,IS_A
127,"explicit",126,IS_A
128,"explicit",126,IS_A
129,"explicit",128,IS_A
130,"explicit",128,IS_A
131,"explicit",128,IS_A
132,"explicit",128,IS_A
133,"explicit",126,IS_A
134,"explicit",126,IS_A
135,"explicit",71,IS_A
136,"explicit",71,IS_A
137,"explicit",71,IS_A
138,"explicit",71,IS_A
139,"explicit",71,IS_A
140,"explicit",139,IS_A
141,"explicit",139,IS_A
142,"explicit",139,IS_A
143,"explicit",71,IS_A
144,"explicit",143,IS_A
145,"explicit",143,IS_A
146,"explicit",143,IS_A
147,"explicit",71,IS_A
148,"explicit",71,IS_A
149,"explicit",2,IS_A
150,"explicit",149,IS_A
151,"explicit",150,IS_A
152,"explicit",151,IS_A
153,"explicit",151,IS_A
154,"explicit",151,IS_A
155,"explicit",150,IS_A
156,"explicit",155,IS_A
157,"explicit",155,IS_A
158,"explicit",155,IS_A
159,"explicit",155,IS_A
160,"explicit",155,IS_A
161,"explicit",155,IS_A
162,"explicit",155,IS_A
163,"explicit",150,IS_A
164,"explicit",163,IS_A
165,"explicit",163,IS_A
166,"explicit",163,IS_A
167,"explicit",166,IS_A
168,"explicit",166,IS_A
169,"explicit",166,IS_A
170,"explicit",166,IS_A
171,"explicit",163,IS_A
172,"explicit",163,IS_A
173,"explicit",172,IS_A
174,"explicit",172,IS_A
175,"explicit",172,IS_A
176,"explicit",172,IS_A
177,"explicit",163,IS_A
178,"explicit",163,IS_A
179,"explicit",163,IS_A
180,"explicit",163,IS_A
181,"explicit",163,IS_A
182,"explicit",150,IS_A
183,"explicit",182,IS_A
184,"explicit",182,IS_A
185,"explicit",150,IS_A
186,"explicit",150,IS_A
187,"explicit",150,IS_A
188,"explicit",149,IS_A
189,"explicit",188,IS_A
190,"explicit",188,IS_A
191,"explicit",188,IS_A
192,"explicit",191,IS_A
193,"explicit",191,IS_A
194,"explicit",188,IS_A
195,"explicit",188,IS_A
196,"explicit",149,IS_A
197,"explicit",196,IS_A
198,"explicit",196,IS_A
199,"explicit",196,IS_A
200,"explicit",199,IS_A
201,"explicit",199,IS_A
202,"explicit",199,IS_A
203,"explicit",196,IS_A
204,"explicit",196,IS_A
205,"explicit",196,IS_A
206,"explicit",196,IS_A
207,"explicit",149,IS_A
208,"explicit",149,IS_A
209,"explicit",2,IS_A
210,"explicit",209,IS_A
211,"explicit",210,IS_A
212,"explicit",211,IS_A
213,"explicit",211,IS_A
214,"explicit",211,IS_A
215,"explicit",210,IS_A
216,"explicit",215,IS_A
217,"explicit",215,IS_A
218,"explicit",217,IS_A
219,"explicit",217,IS_A
220,"explicit",217,IS_A
221,"explicit",215,IS_A
222,"explicit",215,IS_A
223,"explicit",215,IS_A
224,"explicit",210,IS_A
225,"explicit",209,IS_A
226,"explicit",209,IS_A
227,"explicit",209,IS_A
228,"explicit",227,IS_A
229,"explicit",227,IS_A
230,"explicit",209,IS_A
231,"explicit",209,IS_A
232,"explicit",209,IS_A
233,"explicit",209,IS_A
234,"explicit",2,IS_A
235,"explicit",234,IS_A
236,"explicit",235,IS_A
237,"explicit",236,IS_A
238,"explicit",236,IS_A
239,"explicit",236,IS_A
240,"explicit",236,IS_A
241,"explicit",235,IS_A
242,"explicit",235,IS_A
243,"explicit",235,IS_A
244,"explicit",235,IS_A
245,"explicit",235,IS_A
246,"explicit",234,IS_A
247,"explicit",246,IS_A
248,"explicit",246,IS_A
249,"explicit",246,IS_A
250,"explicit",246,IS_A
251,"explicit",246,IS_A
252,"explicit",234,IS_A
253,"explicit",252,IS_A
254,"explicit",252,IS_A
255,"explicit",252,IS_A
256,"explicit",252,IS_A
257,"explicit",252,IS_A
258,"explicit",234,IS_A
259,"explicit",258,IS_A
260,"explicit",258,IS_A
261,"explicit",258,IS_A
262,"explicit",258,IS_A
263,"explicit",258,IS_A
264,"explicit",234,IS_A
265,"explicit",264,IS_A
266,"explicit",264,IS_A
267,"explicit",264,IS_A
268,"explicit",234,IS_A
269,"explicit",268,IS_A
270,"explicit",268,IS_A
271,"explicit",268,IS_A
272,"explicit",268,IS_A
273,"explicit",268,IS_A
274,"explicit",234,IS_A
275,"explicit",2,IS_A
276,"explicit",275,IS_A
277,"explicit",276,IS_A
278,"explicit",276,IS_A
279,"explicit",275,IS_A
280,"explicit",275,IS_A
281,"explicit",275,IS_A
282,"explicit",281,IS_A
283,"explicit",281,IS_A
284,"explicit",281,IS_A
285,"explicit",281,IS_A
286,"explicit",281,IS_A
287,"explicit",281,IS_A
288,"explicit",275,IS_A
289,"explicit",288,IS_A
290,"explicit",288,IS_A
291,"explicit",288,IS_A
292,"explicit",275,IS_A
293,"explicit",275,IS_A
294,"explicit",275,IS_A
295,"explicit",275,IS_A
296,"explicit",275,IS_A
297,"explicit",275,IS_A
298,"explicit",275,IS_A
299,"explicit",2,IS_A
300,"explicit",299,IS_A
301,"explicit",300,IS_A
302,"explicit",300,IS_A
303,"explicit",300,IS_A
304,"explicit",300,IS_A
305,"explicit",300,IS_A
306,"explicit",300,IS_A
307,"explicit",299,IS_A
308,"explicit",307,IS_A
309,"explicit",308,IS_A
310,"explicit",308,IS_A
311,"explicit",307,IS_A
312,"explicit",307,IS_A
313,"explicit",299,IS_A
314,"explicit",313,IS_A
315,"explicit",313,IS_A
316,"explicit",313,IS_A
317,"explicit",313,IS_A
318,"explicit",299,IS_A
319,"explicit",299,IS_A
320,"explicit",299,IS_A
321,"explicit",299,IS_A
322,"explicit",299,IS_A
323,"explicit",322,IS_A
324,"explicit",323,IS_A
325,"explicit",323,IS_A
326,"explicit",323,IS_A
327,"explicit",322,IS_A
328,"explicit",322,IS_A
329,"explicit",322,IS_A
330,"explicit",322,IS_A
331,"explicit",322,IS_A
332,"explicit",299,IS_A
333,"explicit",299,IS_A
334,"explicit",333,IS_A
335,"explicit",299,IS_A
336,"explicit",335,IS_A
337,"explicit",335,IS_A
338,"explicit",335,IS_A
339,"explicit",335,IS_A
340,"explicit",299,IS_A
341,"explicit",340,IS_A
342,"explicit",340,IS_A
343,"explicit",340,IS_A
344,"explicit",340,IS_A
345,"explicit",299,IS_A
346,"explicit",345,IS_A
347,"explicit",345,IS_A
348,"explicit",345,IS_A
349,"explicit",348,IS_A
350,"explicit",348,IS_A
351,"explicit",348,IS_A
352,"explicit",345,IS_A
353,"explicit",345,IS_A
354,"explicit",299,IS_A
355,"explicit",354,IS_A
356,"explicit",354,IS_A
357,"explicit",354,IS_A
358,"explicit",354,IS_A
359,"explicit",299,IS_A
360,"explicit",359,IS_A
361,"explicit",359,IS_A
362,"explicit",359,IS_A
363,"explicit",359,IS_A
364,"explicit",299,IS_A
365,"explicit",299,IS_A
366,"explicit",365,IS_A
367,"explicit",365,IS_A
368,"explicit",367,IS_A
369,"explicit",367,IS_A
370,"explicit",367,IS_A
371,"explicit",367,IS_A
372,"explicit",367,IS_A
373,"explicit",367,IS_A
374,"explicit",367,IS_A
375,"explicit",365,IS_A
376,"explicit",365,IS_A
377,"explicit",299,IS_A
378,"explicit",299,IS_A
379,"explicit",378,IS_A
380,"explicit",378,IS_A
381,"explicit",299,IS_A
382,"explicit",381,IS_A
383,"explicit",381,IS_A
384,"explicit",381,IS_A
385,"explicit",381,IS_A
386,"explicit",385,IS_A
387,"explicit",385,IS_A
388,"explicit",385,IS_A
389,"explicit",385,IS_A
390,"explicit",381,IS_A
391,"explicit",381,IS_A
392,"explicit",299,IS_A
393,"explicit",392,IS_A
394,"explicit",393,IS_A
395,"explicit",393,IS_A
396,"explicit",393,IS_A
397,"explicit",393,IS_A
398,"explicit",393,IS_A
399,"explicit",393,IS_A
400,"explicit",392,IS_A
401,"explicit",400,IS_A
402,"explicit",400,IS_A
403,"explicit",400,IS_A
404,"explicit",400,IS_A
405,"explicit",400,IS_A
406,"explicit",400,IS_A
407,"explicit",392,IS_A
408,"explicit",392,IS_A
409,"explicit",392,IS_A
410,"explicit",392,IS_A
411,"explicit",299,IS_A
412,"explicit",299,IS_A
413,"explicit",299,IS_A
414,"explicit",299,IS_A
415,"explicit",299,IS_A
416,"explicit",299,IS_A
417,"explicit",299,IS_A
