:ID,ClassKind,Depth:int,Code,Chapter,Title,:LABEL
i10_0,chapter,1,I,I,"Certain infectious and parasitic diseases",ICD10Code
i10_1,block,1,A00-A09,I,"Intestinal infectious diseases",ICD10Code
i10_2,category,1,A00,I,"Cholera",ICD10Code
i10_3,category,2,A00.0,I,"Cholera due to Vibrio cholerae 01, biovar cholerae",ICD10Code
i10_4,category,2,A00.1,I,"Cholera due to Vibrio cholerae 01, biovar eltor",ICD10Code
i10_5,category,2,A00.9,I,"Cholera, unspecified",ICD10Code
i10_6,category,1,A01,I,"Typhoid and paratyphoid fevers",ICD10Code
i10_7,category,2,A01.0,I,"Typhoid fever",ICD10Code
i10_8,category,2,A01.1,I,"Paratyphoid fever A",ICD10Code
i10_9,category,2,A01.2,I,"Paratyphoid fever B",ICD10Code
i10_10,category,2,A01.3,I,"Paratyphoid fever C",ICD10Code
i10_11,category,2,A01.4,I,"Paratyphoid fever, unspecified",ICD10Code
i10_12,category,1,A02,I,"Other salmonella infections",ICD10Code
i10_13,category,2,A02.0,I,"Salmonella enteritis",ICD10Code
i10_14,category,2,A02.1,I,"Salmonella sepsis",ICD10Code
i10_15,category,2,A02.2,I,"Localized salmonella infections",ICD10Code
i10_16,category,2,A02.8,I,"Other specified salmonella infections",ICD10Code
i10_17,category,2,A02.9,I,"Salmonella infection, unspecified",ICD10Code
i10_18,category,1,A03,I,"Shigellosis",ICD10Code
i10_19,category,2,A03.0,I,"Shigellosis due to Shigella dysenteriae",ICD10Code
i10_20,category,2,A03.1,I,"Shigellosis due to Shigella flexneri",ICD10Code
i10_21,category,2,A03.2,I,"Shigellosis due to Shigella boydii",ICD10Code
i10_22,category,2,A03.3,I,"Shigellosis due to Shigella sonnei",ICD10Code
i10_23,category,2,A03.8,I,"Other shigellosis",ICD10Code
i10_24,category,2,A03.9,I,"Shigellosis, unspecified",ICD10Code
i10_25,category,1,A04,I,"Other bacterial intestinal infections",ICD10Code
i10_26,category,2,A04.0,I,"Enteropathogenic Escherichia coli infection",ICD10Code
i10_27,category,2,A04.1,I,"Enterotoxigenic Escherichia coli infection",ICD10Code
i10_28,category,2,A04.2,I,"Enteroinvasive Escherichia coli infection",ICD10Code
i10_29,category,2,A04.3,I,"Enterohaemorrhagic Escherichia coli infection",ICD10Code
i10_30,category,2,A04.4,I,"Other intestinal Escherichia coli infections",ICD10Code
i10_31,category,2,A04.5,I,"Campylobacter enteritis",ICD10Code
i10_32,category,2,A04.6,I,"Enteritis due to Yersinia enterocolitica",ICD10Code
i10_33,category,2,A04.7,I,"Enterocolitis due to Clostridium difficile",ICD10Code
i10_34,category,2,A04.8,I,"Other specified bacterial intestinal infections",ICD10Code
i10_35,category,2,A04.9,I,"Bacterial intestinal infection, unspecified",ICD10Code
i10_36,category,1,A05,I,"Other bacterial foodborne intoxications, not elsewhere classified",ICD10Code
i10_37,category,2,A05.0,I,"Foodborne staphylococcal intoxication",ICD10Code
i10_38,category,2,A05.1,I,"Botulism",ICD10Code
i10_39,category,2,A05.2,I,"Foodborne Clostridium perfringens [Clostridium welchii] intoxication",ICD10Code
