:ID,ClassKind,Depth:int,FoundationURI,LinearizationURI,Code,Chapter,ChapterMatch,Title,:LABEL
i11_1,category,1,http://id.who.int/icd/entity/1435254666,http://id.who.int/icd/release/11/2018-12/mms/1435254666/unspecified,1H0Z,01,TRUE,"Infection, unspecified",ICD11Code
i11_2,block,1,http://id.who.int/icd/entity/588616678,http://id.who.int/icd/release/11/2018-12/mms/588616678,,01,TRUE,"Gastroenteritis or colitis of infectious origin",ICD11Code
i11_3,category,1,http://id.who.int/icd/entity/257068234,http://id.who.int/icd/release/11/2018-12/mms/257068234,1A00,01,TRUE,"Cholera",ICD11Code
i11_4,category,1,http://id.who.int/icd/entity/1205958647,http://id.who.int/icd/release/11/2018-12/mms/257068234,1A00&XN8P1,01,TRUE,"Cholera / Vibrio cholera 01, biovar cholerae",ICD11Code
i11_5,category,1,http://id.who.int/icd/entity/581614179,http://id.who.int/icd/release/11/2018-12/mms/257068234,1A00&XN62R,01,TRUE,"Cholera / Vibrio cholera 01, biovar eltor",ICD11Code
i11_6,category,1,http://id.who.int/icd/entity/1528414070,http://id.who.int/icd/release/11/2018-12/mms/1528414070,1A07,01,TRUE,"Typhoid fever",ICD11Code
i11_7,category,1,http://id.who.int/icd/entity/1780040028,http://id.who.int/icd/release/11/2018-12/mms/1780040028,1A08,01,TRUE,"Paratyphoid Fever",ICD11Code
i11_8,category,1,http://id.who.int/icd/entity/1561949126,http://id.who.int/icd/release/11/2018-12/mms/135352227/unspecified,1A0Z,01,TRUE,"Bacterial intestinal infections, unspecified",ICD11Code
i11_9,category,1,http://id.who.int/icd/entity/1045590756,http://id.who.int/icd/release/11/2018-12/mms/1780040028,1A08,01,TRUE,"Paratyphoid Fever",ICD11Code
i11_10,category,1,http://id.who.int/icd/entity/1258234397,http://id.who.int/icd/release/11/2018-12/mms/1780040028,1A08,01,TRUE,"Paratyphoid Fever",ICD11Code
i11_11,category,1,http://id.who.int/icd/entity/800386953,http://id.who.int/icd/release/11/2018-12/mms/1780040028,1A08,01,TRUE,"Paratyphoid Fever",ICD11Code
i11_12,category,1,http://id.who.int/icd/entity/1520312138,http://id.who.int/icd/release/11/2018-12/mms/515117475,1A09,01,TRUE,"Infections due to other Salmonella",ICD11Code
i11_13,category,1,http://id.who.int/icd/entity/622600769,http://id.who.int/icd/release/11/2018-12/mms/622600769,1G40,01,TRUE,"Sepsis without septic shock",ICD11Code
i11_14,category,1,http://id.who.int/icd/entity/515117475,http://id.who.int/icd/release/11/2018-12/mms/515117475,1A09,01,TRUE,"Infections due to other Salmonella",ICD11Code
i11_15,category,1,http://id.who.int/icd/entity/520429137,http://id.who.int/icd/release/11/2018-12/mms/520429137,1C41,01,TRUE,"Bacterial infection of unspecified site",ICD11Code
i11_16,category,1,http://id.who.int/icd/entity/2080365623,http://id.who.int/icd/release/11/2018-12/mms/2080365623,1A02,01,TRUE,"Intestinal infections due to Shigella",ICD11Code
i11_17,category,1,http://id.who.int/icd/entity/1181145033,http://id.who.int/icd/release/11/2018-12/mms/2080365623,1A02,01,TRUE,"Intestinal infections due to Shigella",ICD11Code
i11_18,category,1,http://id.who.int/icd/entity/590158429,http://id.who.int/icd/release/11/2018-12/mms/2080365623,1A02,01,TRUE,"Intestinal infections due to Shigella",ICD11Code
i11_19,category,1,http://id.who.int/icd/entity/1468025508,http://id.who.int/icd/release/11/2018-12/mms/2080365623,1A02,01,TRUE,"Intestinal infections due to Shigella",ICD11Code
i11_20,category,1,http://id.who.int/icd/entity/852199222,http://id.who.int/icd/release/11/2018-12/mms/2080365623,1A02,01,TRUE,"Intestinal infections due to Shigella",ICD11Code
i11_21,category,1,http://id.who.int/icd/entity/135352227,http://id.who.int/icd/release/11/2018-12/mms/135352227/unspecified,1A0Z,01,TRUE,"Bacterial intestinal infections, unspecified",ICD11Code
