:ID,ClassKind,Depth:int,Code,Chapter,Title,:LABEL
i9cm_0,,-1,001.0,,"Cholera due to vibrio cholerae",ICD9CMCode
i9cm_1,,-1,001.1,,"Cholera due to vibrio cholerae el tor",ICD9CMCode
i9cm_2,,-1,001.9,,"Cholera, unspecified",ICD9CMCode
i9cm_3,,-1,002.0,,"Typhoid fever",ICD9CMCode
i9cm_4,,-1,002.1,,"Paratyphoid fever A",ICD9CMCode
i9cm_5,,-1,002.2,,"Paratyphoid fever B",ICD9CMCode
i9cm_6,,-1,002.3,,"Paratyphoid fever C",ICD9CMCode
i9cm_7,,-1,002.9,,"Paratyphoid fever, unspecified",ICD9CMCode
i9cm_8,,-1,003.0,,"Salmonella gastroenteritis",ICD9CMCode
i9cm_9,,-1,003.1,,"Salmonella septicemia",ICD9CMCode
i9cm_10,,-1,003.20,,"Localized salmonella infection, unspecified",ICD9CMCode
i9cm_11,,-1,003.21,,"Salmonella meningitis",ICD9CMCode
i9cm_12,,-1,003.22,,"Salmonella pneumonia",ICD9CMCode
i9cm_13,,-1,003.23,,"Salmonella arthritis",ICD9CMCode
i9cm_14,,-1,003.24,,"Salmonella osteomyelitis",ICD9CMCode
i9cm_15,,-1,003.29,,"Other localized salmonella infections",ICD9CMCode
i9cm_16,,-1,003.8,,"Other specified salmonella infections",ICD9CMCode
i9cm_17,,-1,003.9,,"Salmonella infection, unspecified",ICD9CMCode
i9cm_18,,-1,004.0,,"Shigella dysenteriae",ICD9CMCode
i9cm_19,,-1,004.1,,"Shigella flexneri",ICD9CMCode
i9cm_20,,-1,004.2,,"Shigella boydii",ICD9CMCode
i9cm_21,,-1,004.3,,"Shigella sonnei",ICD9CMCode
i9cm_22,,-1,004.8,,"Other specified shigella infections",ICD9CMCode
i9cm_23,,-1,004.9,,"Shigellosis, unspecified",ICD9CMCode
i9cm_24,,-1,005.0,,"Staphylococcal food poisoning",ICD9CMCode
i9cm_25,,-1,005.1,,"Botulism food poisoning",ICD9CMCode
i9cm_26,,-1,005.2,,"Food poisoning due to Clostridium perfringens (C. welchii)",ICD9CMCode
i9cm_27,,-1,005.3,,"Food poisoning due to other Clostridia",ICD9CMCode
i9cm_28,,-1,005.4,,"Food poisoning due to Vibrio parahaemolyticus",ICD9CMCode
i9cm_29,,-1,005.81,,"Food poisoning due to Vibrio vulnificus",ICD9CMCode
i9cm_30,,-1,005.89,,"Other bacterial food poisoning",ICD9CMCode
i9cm_31,,-1,005.9,,"Food poisoning, unspecified",ICD9CMCode
i9cm_32,,-1,006.0,,"Acute amebic dysentery without mention of abscess",ICD9CMCode
i9cm_33,,-1,006.1,,"Chronic intestinal amebiasis without mention of abscess",ICD9CMCode
i9cm_34,,-1,006.2,,"Amebic nondysenteric colitis",ICD9CMCode
i9cm_35,,-1,006.3,,"Amebic liver abscess",ICD9CMCode
i9cm_36,,-1,006.4,,"Amebic lung abscess",ICD9CMCode
i9cm_37,,-1,006.5,,"Amebic brain abscess",ICD9CMCode
i9cm_38,,-1,006.6,,"Amebic skin ulceration",ICD9CMCode
i9cm_39,,-1,006.8,,"Amebic infection of other sites",ICD9CMCode
i9cm_40,,-1,006.9,,"Amebiasis, unspecified",ICD9CMCode
i9cm_41,,-1,007.0,,"Balantidiasis",ICD9CMCode
i9cm_42,,-1,007.1,,"Giardiasis",ICD9CMCode
i9cm_43,,-1,007.2,,"Coccidiosis",ICD9CMCode
i9cm_44,,-1,007.3,,"Intestinal trichomoniasis",ICD9CMCode
i9cm_45,,-1,007.4,,"Cryptosporidiosis",ICD9CMCode
i9cm_46,,-1,007.5,,"Cyclosporiasis",ICD9CMCode
i9cm_47,,-1,007.8,,"Other specified protozoal intestinal diseases",ICD9CMCode
i9cm_48,,-1,007.9,,"Unspecified protozoal intestinal disease",ICD9CMCode
i9cm_49,,-1,008.00,,"Intestinal infection due to E. coli, unspecified",ICD9CMCode
i9cm_50,,-1,008.01,,"Intestinal infection due to enteropathogenic E. coli",ICD9CMCode
i9cm_51,,-1,008.02,,"Intestinal infection due to enterotoxigenic E. coli",ICD9CMCode
i9cm_52,,-1,008.03,,"Intestinal infection due to enteroinvasive E. coli",ICD9CMCode
i9cm_53,,-1,008.04,,"Intestinal infection due to enterohemorrhagic E. coli",ICD9CMCode
i9cm_54,,-1,008.09,,"Intestinal infection due to other intestinal E. coli infections",ICD9CMCode
i9cm_55,,-1,008.1,,"Intestinal infection due to arizona group of paracolon bacilli",ICD9CMCode
i9cm_56,,-1,008.2,,"Intestinal infection due to aerobacter aerogenes",ICD9CMCode
i9cm_57,,-1,008.3,,"Intestinal infection due to proteus (mirabilis) (morganii)",ICD9CMCode
i9cm_58,,-1,008.41,,"Intestinal infection due to staphylococcus",ICD9CMCode
i9cm_59,,-1,008.42,,"Intestinal infection due to pseudomonas",ICD9CMCode
i9cm_60,,-1,008.43,,"Intestinal infection due to campylobacter",ICD9CMCode
i9cm_61,,-1,008.44,,"Intestinal infection due to yersinia enterocolitica",ICD9CMCode
i9cm_62,,-1,008.45,,"Intestinal infection due to Clostridium difficile",ICD9CMCode
i9cm_63,,-1,008.46,,"Intestinal infection due to other anaerobes",ICD9CMCode
i9cm_64,,-1,008.47,,"Intestinal infection due to other gram-negative bacteria",ICD9CMCode
i9cm_65,,-1,008.49,,"Intestinal infection due to other organisms",ICD9CMCode
i9cm_66,,-1,008.5,,"Bacterial enteritis, unspecified",ICD9CMCode
i9cm_67,,-1,008.61,,"Enteritis due to rotavirus",ICD9CMCode
i9cm_68,,-1,008.62,,"Enteritis due to adenovirus",ICD9CMCode
i9cm_69,,-1,008.63,,"Enteritis due to norwalk virus",ICD9CMCode
i9cm_70,,-1,008.64,,"Enteritis due to other small round viruses [SRV's]",ICD9CMCode
i9cm_71,,-1,008.65,,"Enteritis due to calicivirus",ICD9CMCode
i9cm_72,,-1,008.66,,"Enteritis due to astrovirus",ICD9CMCode
i9cm_73,,-1,008.67,,"Enteritis due to enterovirus nec",ICD9CMCode
i9cm_74,,-1,008.69,,"Enteritis due to other viral enteritis",ICD9CMCode
i9cm_75,,-1,008.8,,"Intestinal infection due to other organism, not elsewhere classified",ICD9CMCode
i9cm_76,,-1,009.0,,"Infectious colitis, enteritis, and gastroenteritis",ICD9CMCode
i9cm_77,,-1,009.1,,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",ICD9CMCode
i9cm_78,,-1,009.2,,"Infectious diarrhea",ICD9CMCode
i9cm_79,,-1,009.3,,"Diarrhea of presumed infectious origin",ICD9CMCode
i9cm_80,,-1,010.00,,"Primary tuberculous infection, unspecified",ICD9CMCode
