:START_ID,:END_ID,:TYPE,ChapterMatch,Flag
i9cm_0,i10cm_0,Forward,,0000
i9cm_1,i10cm_1,Forward,,0000
i9cm_2,i10cm_2,Forward,,0000
i9cm_3,i10cm_3,Forward,,0000
i9cm_4,i10cm_10,Forward,,0000
i9cm_5,i10cm_11,Forward,,0000
i9cm_6,i10cm_12,Forward,,0000
i9cm_7,i10cm_13,Forward,,0000
i9cm_8,i10cm_14,Forward,,0000
i9cm_9,i10cm_15,Forward,,0000
i9cm_10,i10cm_16,Forward,,0000
i9cm_11,i10cm_17,Forward,,0000
i9cm_12,i10cm_18,Forward,,0000
i9cm_13,i10cm_19,Forward,,0000
i9cm_14,i10cm_20,Forward,,0000
i9cm_15,i10cm_22,Forward,,0000
i9cm_16,i10cm_23,Forward,,0000
i9cm_17,i10cm_24,Forward,,0000
i9cm_18,i10cm_25,Forward,,0000
i9cm_19,i10cm_26,Forward,,0000
i9cm_20,i10cm_27,Forward,,0000
i9cm_21,i10cm_28,Forward,,0000
i9cm_22,i10cm_29,Forward,,0000
i9cm_23,i10cm_30,Forward,,0000
i9cm_24,i10cm_42,Forward,,0000
i9cm_25,i10cm_43,Forward,,0000
i9cm_26,i10cm_44,Forward,,0000
i9cm_27,i10cm_48,Forward,,0000
i9cm_28,i10cm_45,Forward,,0000
i9cm_29,i10cm_47,Forward,,0000
i9cm_30,i10cm_46,Forward,,0000
i9cm_30,i10cm_48,Forward,,0000
i9cm_31,i10cm_49,Forward,,0000
i9cm_32,i10cm_50,Forward,,0000
i9cm_33,i10cm_51,Forward,,0000
i9cm_34,i10cm_52,Forward,,0000
i9cm_35,i10cm_54,Forward,,0000
i9cm_36,i10cm_55,Forward,,0000
i9cm_37,i10cm_56,Forward,,0000
i9cm_38,i10cm_57,Forward,,0000
i9cm_39,i10cm_60,Forward,,0000
i9cm_40,i10cm_61,Forward,,0000
i9cm_41,i10cm_62,Forward,,0000
i9cm_42,i10cm_63,Forward,,0000
i9cm_43,i10cm_65,Forward,,0000
i9cm_44,i10cm_67,Forward,,0000
i9cm_45,i10cm_64,Forward,,0000
i9cm_46,i10cm_66,Forward,,0000
i9cm_47,i10cm_67,Forward,,0000
i9cm_48,i10cm_68,Forward,,0000
i9cm_49,i10cm_35,Forward,,0000
i9cm_50,i10cm_31,Forward,,0000
i9cm_51,i10cm_32,Forward,,0000
i9cm_52,i10cm_33,Forward,,0000
i9cm_53,i10cm_34,Forward,,0000
i9cm_54,i10cm_35,Forward,,0000
i9cm_55,i10cm_40,Forward,,0000
i9cm_56,i10cm_40,Forward,,0000
i9cm_57,i10cm_40,Forward,,0000
i9cm_58,i10cm_40,Forward,,0000
i9cm_59,i10cm_40,Forward,,0000
i9cm_60,i10cm_36,Forward,,0000
i9cm_61,i10cm_37,Forward,,0000
i9cm_62,i10cm_38,Forward,,0000
i9cm_62,i10cm_39,Forward,,0000
i9cm_63,i10cm_40,Forward,,0000
i9cm_64,i10cm_40,Forward,,0000
i9cm_65,i10cm_40,Forward,,0000
i9cm_66,i10cm_41,Forward,,0000
i9cm_67,i10cm_69,Forward,,0000
i9cm_68,i10cm_72,Forward,,0000
i9cm_69,i10cm_70,Forward,,0000
i9cm_70,i10cm_71,Forward,,0000
i9cm_71,i10cm_73,Forward,,0000
i9cm_72,i10cm_74,Forward,,0000
i9cm_73,i10cm_75,Forward,,0000
i9cm_74,i10cm_75,Forward,,0000
i9cm_75,i10cm_77,Forward,,0000
i9cm_76,i10cm_78,Forward,,0000
i9cm_77,i10cm_78,Forward,,0000
i9cm_78,i10cm_78,Forward,,0000
i9cm_79,i10cm_78,Forward,,0000
i9cm_80,i10cm_83,Forward,,0000
i9cm_81,i10cm_83,Forward,,0000
i9cm_82,i10cm_83,Forward,,0000
i9cm_83,i10cm_83,Forward,,0000
i9cm_84,i10cm_83,Forward,,0000
i9cm_85,i10cm_83,Forward,,0000
i9cm_86,i10cm_83,Forward,,0000
i9cm_87,i10cm_82,Forward,,0000
i9cm_88,i10cm_82,Forward,,0000
i9cm_89,i10cm_82,Forward,,0000
i9cm_90,i10cm_82,Forward,,0000
i9cm_91,i10cm_82,Forward,,0000
i9cm_92,i10cm_82,Forward,,0000
i9cm_93,i10cm_82,Forward,,0000
i9cm_94,i10cm_83,Forward,,0000
i9cm_95,i10cm_83,Forward,,0000
i9cm_96,i10cm_83,Forward,,0000
i9cm_97,i10cm_83,Forward,,0000
i9cm_98,i10cm_83,Forward,,0000
i9cm_99,i10cm_83,Forward,,0000
i9cm_100,i10cm_83,Forward,,0000
i9cm_101,i10cm_83,Forward,,0000
i9cm_102,i10cm_83,Forward,,0000
